GeneID,nr_annotation
CSS0027645,PREDICTED: putative germin-like protein 2-1 [Prunus mume]
CSS0037608,PREDICTED: pentatricopeptide repeat-containing protein At4g26680 mitochondrial [Pyrus x bretschneideri]
CSS0041033,PREDICTED: ectonucleotide pyrophosphatase/phosphodiesterase family member 3-like [Nicotiana tomentosiformis]
CSS0044087,PREDICTED: probable sodium/metabolite cotransporter BASS2 chloroplastic [Nelumbo nucifera]
CSS0002847,PREDICTED: uncharacterized protein LOC100259371 [Vitis vinifera] 
CSS0047334,PREDICTED: bifunctional phosphatase IMPL2 chloroplastic [Nicotiana tomentosiformis]
CSS0006101,hypothetical protein JCGZ_21628 [Jatropha curcas]
CSS0016230,hypothetical protein POPTR_0001s43550g [Populus trichocarpa] 
CSS0003546,Uncharacterized protein isoform 2 [Theobroma cacao] 
CSS0013439,CYP716A75 [Maesa lanceolata]
CSS0009945,hypothetical protein POPTR_0020s00510g [Populus trichocarpa] 
CSS0020061,Beta-D-xylosidase 4 [Theobroma cacao] 
CSS0009085,PREDICTED: uncharacterized protein LOC100256556 [Vitis vinifera]
CSS0031522,Putative DEAD-box ATP-dependent RNA helicase 29 [Morus notabilis] 
CSS0045547,unnamed protein product [Coffea canephora]
CSS0004905,PREDICTED: 26S proteasome non-ATPase regulatory subunit 8 homolog A-like partial [Phoenix dactylifera]
CSS0042126,PREDICTED: putative DNA-binding protein ESCAROLA [Nicotiana tomentosiformis]
CSS0039652,hypothetical protein CICLE_v10024464mg [Citrus clementina] 
CSS0035245,Gag protease polyprotein [Theobroma cacao] 
CSS0031550,hypothetical protein VITISV_003620 [Vitis vinifera]
CSS0030239,PREDICTED: transcription factor EMB1444-like [Pyrus x bretschneideri]
CSS0035900,C-terminal cysteine residue is changed to a serine 1 [Theobroma cacao] 
CSS0039121,20S proteasome alpha subunit G1 [Theobroma cacao] 
CSS0013446,PREDICTED: sorting nexin 2A [Vitis vinifera]
CSS0013646,PREDICTED: transcription repressor OFP11 [Vitis vinifera]
CSS0003194,cytochrome b6/f complex subunit V [Erodium texanum] 
CSS0023285,PREDICTED: uncharacterized protein LOC103955731 isoform X2 [Pyrus x bretschneideri]
CSS0041264,PREDICTED: ribonuclease 3-like protein 3 [Nicotiana tomentosiformis]
CSS0042422,ATP synthase CF1 epsilon subunit (chloroplast) [Camellia taliensis] 
CSS0030184,hypothetical protein PRUPE_ppa000829mg [Prunus persica] 
CSS0049712,PREDICTED: gibberellin 20 oxidase 1-D-like [Vitis vinifera] 
CSS0022411,PREDICTED: uncharacterized protein LOC103403603 [Malus domestica]
CSS0030811,PREDICTED: uncharacterized protein LOC100259267 isoform X2 [Vitis vinifera]
CSS0005164,PREDICTED: serine/threonine-protein kinase SRPK isoform X1 [Vitis vinifera]
CSS0000338,putative hydroxycinnamoyl-CoA:shikimate/quinate hydroxycinnamoyltransferase [Camellia sinensis]
CSS0006685,PREDICTED: DNA polymerase eta isoform X2 [Vitis vinifera]
CSS0022182,PREDICTED: uncharacterized protein LOC103323220 isoform X2 [Prunus mume]
CSS0037788,PREDICTED: NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 9 mitochondrial [Vitis vinifera] 
CSS0024212,PREDICTED: uncharacterized protein LOC105162126 isoform X1 [Sesamum indicum]
CSS0046040,PREDICTED: uncharacterized protein LOC100258543 [Vitis vinifera] 
CSS0043555,auxin response factor 10 [Camellia sinensis]
CSS0037901,PREDICTED: uncharacterized protein LOC100261105 [Vitis vinifera]
CSS0029885,PREDICTED: pentatricopeptide repeat-containing protein At1g19720 [Vitis vinifera]
CSS0006453,hypothetical protein PRUPE_ppa008346mg [Prunus persica] 
CSS0041174,PREDICTED: dnaJ homolog subfamily C GRV2 isoform X2 [Prunus mume]
CSS0045591,PREDICTED: regulatory-associated protein of TOR 1-like isoform X2 [Cicer arietinum]
CSS0018294,PREDICTED: F-box/LRR-repeat protein 4 isoform X1 [Prunus mume]
CSS0024685,SWIB/MDM2 domain superfamily protein [Theobroma cacao] 
CSS0013186,BnaA01g31820D [Brassica napus]
CSS0031217,PREDICTED: probable transcription factor GLK2 [Vitis vinifera]
CSS0002490,PREDICTED: FACT complex subunit SPT16-like [Vitis vinifera] 
CSS0031486,conserved hypothetical protein [Ricinus communis] 
CSS0004514,Galactosyltransferase family protein isoform 1 [Theobroma cacao] 
CSS0045416,hypothetical protein VITISV_042772 [Vitis vinifera]
CSS0015343,hypothetical protein JCGZ_10687 [Jatropha curcas]
CSS0036109,PREDICTED: V-type proton ATPase subunit C [Nicotiana tomentosiformis]
CSS0024327,PREDICTED: pectinesterase-like [Nelumbo nucifera]
CSS0017693,PREDICTED: cyclin-A1-1-like [Vitis vinifera]
CSS0027736,unnamed protein product [Vitis vinifera] 
CSS0045803,PREDICTED: uncharacterized protein LOC104882234 [Vitis vinifera]
CSS0034039,PREDICTED: katanin p60 ATPase-containing subunit A-like 2 isoform X2 [Vitis vinifera]
CSS0023757,PREDICTED: uncharacterized protein LOC103429605 [Malus domestica]
CSS0038680,unnamed protein product [Coffea canephora]
CSS0035421,hypothetical protein PRUPE_ppa024102mg [Prunus persica] 
CSS0006930,PREDICTED: oleosin 1-like [Sesamum indicum]
CSS0024037,F-box family protein putative [Theobroma cacao] 
CSS0002657,Mitochondrial import receptor subunit TOM5 [Theobroma cacao] 
CSS0045703,PREDICTED: probable trehalose-phosphate phosphatase J [Sesamum indicum]
CSS0027977,PREDICTED: UPF0160 protein C694.04c [Nelumbo nucifera]
CSS0009259,PREDICTED: DEAD-box ATP-dependent RNA helicase 50 isoform X3 [Nelumbo nucifera]
CSS0008199,PREDICTED: glutathione S-transferase-like [Nicotiana tomentosiformis]
CSS0005606,unnamed protein product [Coffea canephora]
CSS0047735,hypothetical protein VITISV_000911 [Vitis vinifera]
CSS0007925,PREDICTED: transcription factor TGA2-like [Vitis vinifera] 
CSS0038025,PREDICTED: nudix hydrolase 26 chloroplastic-like [Malus domestica]
CSS0026375,Pleiotropic drug resistance protein 12 [Triticum urartu]
CSS0044044,PREDICTED: exocyst complex component SEC10 [Vitis vinifera] 
CSS0039312,hypothetical protein JCGZ_09022 [Jatropha curcas]
CSS0048494,PREDICTED: phosphoenolpyruvate carboxylase 1-like [Sesamum indicum]
CSS0000057,PREDICTED: probable beta-D-xylosidase 6 [Nelumbo nucifera]
CSS0022046,PREDICTED: nicalin-1 [Vitis vinifera] 
CSS0005726,Sequence-specific DNA binding putative isoform 3 [Theobroma cacao] 
CSS0015642,unnamed protein product [Coffea canephora]
CSS0009261,hypothetical protein VITISV_028161 [Vitis vinifera]
CSS0039406,PREDICTED: mediator of RNA polymerase II transcription subunit 19a-like isoform X1 [Beta vulgaris subsp. vulgaris] 
CSS0041675,PREDICTED: protein CHROMATIN REMODELING 24-like isoform X1 [Populus euphratica]
CSS0019735,PREDICTED: zinc-metallopeptidase peroxisomal [Vitis vinifera] 
CSS0030194,hypothetical protein MIMGU_mgv1a001437mg [Erythranthe guttata]
CSS0020825,PREDICTED: eukaryotic translation initiation factor 3 subunit A [Vitis vinifera]
CSS0015384,hypothetical protein JCGZ_08532 [Jatropha curcas]
CSS0045655,hypothetical protein PRUPE_ppa023601mg [Prunus persica] 
CSS0000936,unnamed protein product [Coffea canephora]
CSS0006225,PREDICTED: transcriptional regulator STERILE APETALA-like [Nicotiana tomentosiformis]
CSS0033938,PREDICTED: uncharacterized protein LOC104437362 isoform X1 [Eucalyptus grandis]
CSS0031111,unnamed protein product [Vitis vinifera]
CSS0043616,PREDICTED: uncharacterized protein LOC104881878 [Vitis vinifera]
CSS0035127,PREDICTED: mitochondrial inner membrane protease ATP23-like [Cucumis sativus] 
CSS0046848,hypothetical protein CISIN_1g0204062mg partial [Citrus sinensis]
CSS0001560,PREDICTED: uncharacterized protein LOC103951901 [Pyrus x bretschneideri]
CSS0033339,copper-binding family protein [Populus trichocarpa] 
CSS0033781,GCN5-related N-acetyltransferase [Theobroma cacao] 
CSS0030940,PREDICTED: thylakoid lumenal 16.5 kDa protein chloroplastic [Vitis vinifera] 
CSS0034784,hypothetical protein CICLE_v10030641mg [Citrus clementina] 
CSS0026544,PREDICTED: cell division control protein 2 homolog 2-like isoform X1 [Cicer arietinum] 
CSS0025780,PREDICTED: uncharacterized protein LOC100259371 [Vitis vinifera] 
CSS0049720,PREDICTED: B3 domain-containing protein Os01g0234100-like isoform X1 [Solanum tuberosum]
CSS0018540,PREDICTED: uncharacterized protein LOC100265977 [Vitis vinifera]
CSS0009924,PREDICTED: phospho-2-dehydro-3-deoxyheptonate aldolase 1 chloroplastic-like [Pyrus x bretschneideri]
CSS0009379,dc50 putative [Ricinus communis] 
CSS0027480,PREDICTED: deSI-like protein At4g17486 [Vitis vinifera]
CSS0011813,hypothetical protein L484_012206 [Morus notabilis] 
CSS0018926,hypothetical protein MIMGU_mgv11b002117mg [Erythranthe guttata]
CSS0014862,hypothetical protein JCGZ_16608 [Jatropha curcas]
CSS0004053,PREDICTED: uncharacterized protein LOC100263780 isoform X3 [Vitis vinifera]
CSS0024457,PREDICTED: dammarenediol II synthase-like [Sesamum indicum] 
CSS0021557,hypothetical protein VITISV_006047 [Vitis vinifera]
CSS0040636,PREDICTED: leucine-rich repeat receptor-like protein CLAVATA2 isoform X1 [Malus domestica]
CSS0043317,hypothetical protein VITISV_003620 [Vitis vinifera]
CSS0036335,PREDICTED: stAR-related lipid transfer protein 7 mitochondrial isoform X1 [Vitis vinifera]
CSS0050453,PREDICTED: RNA-binding protein 38-like [Nelumbo nucifera]
CSS0019369,serine carboxypeptidase-like protein [Camellia sinensis]
CSS0046357,PREDICTED: respiratory burst oxidase homolog protein E isoform X1 [Vitis vinifera] 
CSS0041224,PREDICTED: cytochrome c oxidase subunit 6a mitochondrial [Eucalyptus grandis] 
CSS0020529,PREDICTED: ribonuclease 3-like protein 3 [Nicotiana tomentosiformis]
CSS0012110,PREDICTED: syntaxin-61 [Vitis vinifera] 
CSS0004043,PREDICTED: enhancer of rudimentary homolog [Citrus sinensis]
CSS0020296,ethylene responsive element binding factor partial [Camellia sinensis]
CSS0015036,PREDICTED: laccase-4-like [Nicotiana tomentosiformis]
CSS0011696,PREDICTED: uncharacterized protein LOC104436094 isoform X2 [Eucalyptus grandis] 
CSS0024793,PREDICTED: F-box-like/WD repeat-containing protein TBL1XR1-like [Cucumis sativus] 
CSS0026750,PREDICTED: uncharacterized protein LOC101774726 [Setaria italica]
CSS0022809,PREDICTED: early nodulin-like protein 1 [Nicotiana sylvestris]
CSS0029992,MYB transcription factor [Camellia sinensis]
CSS0000108,PREDICTED: uncharacterized protein LOC102664856 [Glycine max]
CSS0031521,Transcription initiation factor TFIID subunit 10 [Morus notabilis] 
CSS0035167,PREDICTED: protein FAR1-RELATED SEQUENCE 5-like [Malus domestica]
CSS0001487,hypothetical protein VITISV_017741 [Vitis vinifera]
CSS0034693,PREDICTED: disease resistance protein RPM1 [Vitis vinifera] 
CSS0023530,PREDICTED: ankyrin repeat-containing protein At5g02620-like [Nicotiana tomentosiformis]
CSS0005565,hypothetical protein JCGZ_01211 [Jatropha curcas]
CSS0010717,PREDICTED: peptidyl-prolyl cis-trans isomerase FKBP65-like [Pyrus x bretschneideri]
CSS0025158,PREDICTED: nucleolar GTP-binding protein 1 isoform X2 [Sesamum indicum]
CSS0032920,unnamed protein product [Coffea canephora]
CSS0015658,T4.5 [Malus x robusta]
CSS0017432,PREDICTED: uncharacterized protein LOC101297846 [Fragaria vesca subsp. vesca]
CSS0007603,PREDICTED: ATPase ASNA1 homolog [Vitis vinifera] 
CSS0046913,hypothetical protein PHAVU_006G181600g [Phaseolus vulgaris] 
CSS0004132,PREDICTED: basic 7S globulin-like [Nicotiana tomentosiformis]
CSS0020696,Heavy metal transport/detoxification superfamily protein [Theobroma cacao] 
CSS0047734,hypothetical protein PRUPE_ppa009666mg [Prunus persica] 
CSS0001777,PREDICTED: polyadenylate-binding protein-interacting protein 12-like [Sesamum indicum]
CSS0039292,PREDICTED: uncharacterized protein LOC103339815 [Prunus mume]
CSS0013214,hypothetical protein CISIN_1g027099mg [Citrus sinensis]
CSS0028167,unnamed protein product [Coffea canephora]
CSS0031295,hypothetical protein VITISV_039530 [Vitis vinifera]
CSS0038836,unnamed protein product [Coffea canephora]
CSS0026841,hypothetical protein CISIN_1g0112712mg partial [Citrus sinensis]
CSS0034811,PREDICTED: signal recognition particle subunit SRP72 [Solanum lycopersicum]
CSS0022075,PREDICTED: uncharacterized protein LOC104885003 [Beta vulgaris subsp. vulgaris]
CSS0014287,auxin:hydrogen symporter putative [Ricinus communis] 
CSS0028943,PREDICTED: glyceraldehyde-3-phosphate dehydrogenase B chloroplastic [Malus domestica]
CSS0005133,conserved hypothetical protein [Ricinus communis] 
CSS0037474,PREDICTED: transmembrane 9 superfamily member 4 [Nicotiana sylvestris]
CSS0018720,Cryptochrome 2 isoform 3 [Theobroma cacao] 
CSS0008558,MYB transcription factor [Camellia sinensis]
CSS0014399,PREDICTED: LOW QUALITY PROTEIN: uncharacterized protein LOC103328546 [Prunus mume]
CSS0022197,PREDICTED: ferredoxin-dependent glutamate synthase 1 chloroplastic-like [Cucumis sativus]
CSS0032306,gag-pol partial [Camellia sinensis]
CSS0026857,PREDICTED: KH domain-containing protein At4g18375 [Nicotiana sylvestris]
CSS0034898,PREDICTED: cellulose synthase A catalytic subunit 1 [UDP-forming] [Vitis vinifera]
CSS0026585,PREDICTED: EG45-like domain containing protein [Vitis vinifera] 
CSS0048526,unnamed protein product [Coffea canephora]
CSS0013975,hypothetical protein JCGZ_25915 [Jatropha curcas]
CSS0022045,hypothetical protein CICLE_v10024814mg [Citrus clementina] 
CSS0018591,TPA: phosphoenolpyruvate carboxylase4 [Zea mays]
CSS0018893,PREDICTED: retrotransposon-like protein 1-like [Solanum tuberosum]
CSS0001716,Beta-galactosidase [Medicago truncatula]
CSS0023935,hypothetical protein PRUPE_ppa013551mg [Prunus persica] 
CSS0006900,hypothetical protein VITISV_026191 [Vitis vinifera]
CSS0014313,PREDICTED: ADP-ribosylation factor 2-like [Nelumbo nucifera]
CSS0032680,WAS/WASL-interacting protein family member 1 [Theobroma cacao] 
CSS0009636,hypothetical protein POPTR_0005s24730g [Populus trichocarpa] 
CSS0043621,PREDICTED: monothiol glutaredoxin-S1-like [Nicotiana tomentosiformis]
CSS0049756,unnamed protein product [Vitis vinifera]
CSS0004297,PREDICTED: uncharacterized protein LOC104882466 isoform X2 [Vitis vinifera]
CSS0010064,photosystem I reaction center subunit N (chloroplast) [Camellia sinensis]
CSS0035807,PREDICTED: pentatricopeptide repeat-containing protein At5g01110 [Vitis vinifera] 
CSS0025267,PREDICTED: peamaclein [Pyrus x bretschneideri]
CSS0041126,Thaumatin-like protein [Camellia sinensis] 
CSS0017499,PREDICTED: E3 ubiquitin-protein ligase ATL4 [Nicotiana tomentosiformis]
CSS0050135,protein arginine n-methyltransferase putative [Ricinus communis] 
CSS0000150,glucose-regulated protein 78 partial [Solanum lycopersicum]
CSS0015616,PREDICTED: uncharacterized protein LOC103697444 [Phoenix dactylifera]
CSS0025568,PREDICTED: transcription factor bHLH106-like [Nelumbo nucifera]
CSS0012614,PREDICTED: 2-aminoethanethiol dioxygenase-like [Sesamum indicum] 
CSS0039229,unnamed protein product [Coffea canephora]
CSS0024240,unnamed protein product [Vitis vinifera]
CSS0006700,unnamed protein product [Vitis vinifera]
CSS0031957,UDP-glucosyl transferase 74B1 [Theobroma cacao] 
CSS0031999,hypothetical protein JCGZ_07791 [Jatropha curcas]
CSS0006000,ubiquitin-like family protein [Camellia sinensis var. sinensis]
CSS0008091,PREDICTED: HVA22-like protein a isoform X1 [Sesamum indicum]
CSS0000220,MYB110 [Actinidia chinensis]
CSS0013596,PREDICTED: putative ribonuclease H protein At1g65750-like [Fragaria vesca subsp. vesca]
CSS0030226,PREDICTED: ninja-family protein mc410 isoform X2 [Vitis vinifera]
CSS0019412,PREDICTED: tetraspanin-8 [Vitis vinifera]
CSS0013274,unnamed protein product [Coffea canephora]
CSS0028107,PREDICTED: dof zinc finger protein DOF1.4 [Vitis vinifera]
CSS0031824,PREDICTED: uncharacterized protein At1g76660 [Nicotiana tomentosiformis]
CSS0021848,PREDICTED: sulfhydryl oxidase 2 isoform X1 [Vitis vinifera]
CSS0040140,unnamed protein product partial [Coffea canephora]
CSS0008056,putative retrotransposon [Phaseolus vulgaris]
CSS0022325,Zinc induced facilitator-like 1 isoform 1 [Theobroma cacao] 
CSS0022007,PREDICTED: RNA and export factor-binding protein 2-like [Cucumis sativus]
CSS0021844,hypothetical protein AMTR_s00165p00050500 [Amborella trichopoda] 
CSS0005048,PREDICTED: probable auxin efflux carrier component 1c [Vitis vinifera] 
CSS0025154,PREDICTED: uncharacterized protein At3g49720 [Vitis vinifera]
CSS0009728,PREDICTED: adenylosuccinate lyase [Vitis vinifera] 
CSS0039510,Membrane insertase YidC [Gossypium arboreum]
CSS0013822,unnamed protein product [Coffea canephora]
CSS0009274,Phosphoribosylaminoimidazole carboxylase family protein [Populus trichocarpa] 
CSS0024866,PREDICTED: mitogen-activated protein kinase kinase kinase 2-like [Sesamum indicum]
CSS0030320,PREDICTED: uncharacterized protein LOC100243950 [Vitis vinifera] 
CSS0029841,PREDICTED: UDP-glycosyltransferase 73C1-like [Nelumbo nucifera]
CSS0000848,PREDICTED: DEAD-box ATP-dependent RNA helicase 36 [Vitis vinifera] 
CSS0045321,JHL06P13.14 [Jatropha curcas] 
CSS0043774,PREDICTED: uncharacterized protein LOC104901585 [Beta vulgaris subsp. vulgaris]
CSS0003636,PREDICTED: tetraspanin-6 [Vitis vinifera]
CSS0007434,o-methyltransferase [Camellia sinensis]
CSS0038139,poly [ADP-ribose] polymerase 3 [Glycine max] 
CSS0018759,alcohol dehydrogenase [Camellia sinensis]
CSS0019993,hypothetical protein CISIN_1g015181mg [Citrus sinensis]
CSS0040515,PREDICTED: CBL-interacting protein kinase 9-like isoform X3 [Elaeis guineensis]
CSS0034495,PREDICTED: protein TORNADO 1 [Prunus mume]
CSS0011477,PREDICTED: uncharacterized protein LOC100262214 [Vitis vinifera]
CSS0049127,PREDICTED: kinesin KP1 isoform X1 [Vitis vinifera]
CSS0036662,PREDICTED: peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase A-like [Nelumbo nucifera]
CSS0005689,Polyprotein putative [Solanum demissum]
CSS0013100,PREDICTED: heparanase-like protein 2 [Sesamum indicum]
CSS0044756,PREDICTED: COP9 signalosome complex subunit 7 isoform X1 [Nicotiana sylvestris]
CSS0018833,hypothetical protein POPTR_0013s04570g [Populus trichocarpa] 
CSS0036596,PREDICTED: pentatricopeptide repeat-containing protein At5g66520-like [Vitis vinifera]
CSS0034782,hypothetical protein PRUPE_ppa012136mg [Prunus persica] 
CSS0028734,PREDICTED: uncharacterized protein LOC100853685 [Vitis vinifera]
CSS0045420,LRR and NB-ARC domains-containing disease resistance protein putative [Theobroma cacao] 
CSS0034317,unnamed protein product [Coffea canephora]
CSS0021568,PREDICTED: eyes absent homolog 2 isoform X1 [Vitis vinifera] 
CSS0022051,PREDICTED: glutamate dehydrogenase isoform X1 [Vitis vinifera] 
CSS0033260,UDP-glucosyltransferase 74F2 putative [Theobroma cacao] 
CSS0046113,PREDICTED: expansin-A8-like [Populus euphratica]
CSS0038365,hypothetical protein POPTR_0005s09270g [Populus trichocarpa] 
CSS0045333,PREDICTED: putative disease resistance protein At4g19050 [Prunus mume] 
CSS0005427,unnamed protein product [Coffea canephora]
CSS0022728,hypothetical protein CICLE_v10000913mg [Citrus clementina] 
CSS0040827,PREDICTED: transcription-associated protein 1 [Vitis vinifera]
CSS0011079,hypothetical protein PRUPE_ppa018626mg [Prunus persica] 
CSS0001612,PREDICTED: pseudouridine-metabolizing bifunctional protein C1861.05 [Vitis vinifera] 
CSS0043195,unnamed protein product [Coffea canephora]
CSS0031759,PREDICTED: DNA mismatch repair protein MLH3 isoform X2 [Sesamum indicum]
CSS0022502,hypothetical protein VITISV_000588 [Vitis vinifera]
CSS0018811,hypothetical protein PRUPE_ppa022464mg partial [Prunus persica] 
CSS0026909,PREDICTED: protein root UVB sensitive 1 chloroplastic [Sesamum indicum]
CSS0014067,PREDICTED: COBRA-like protein 6 isoform X1 [Sesamum indicum]
CSS0016043,PREDICTED: mitochondrial import inner membrane translocase subunit TIM50-like [Sesamum indicum]
CSS0007135,unnamed protein product [Vitis vinifera]
CSS0024274,PREDICTED: uncharacterized protein LOC104120704 isoform X1 [Nicotiana tomentosiformis]
CSS0007952,hypothetical protein PRUPE_ppa017365mg [Prunus persica] 
CSS0002721,hypothetical protein PRUPE_ppa007585mg [Prunus persica] 
CSS0042367,hypothetical protein PRUPE_ppa013551mg [Prunus persica] 
CSS0012075,PREDICTED: ABC transporter B family member 13-like [Vitis vinifera]
CSS0048798,hypothetical protein POPTR_0012s04300g [Populus trichocarpa] 
CSS0036966,hypothetical protein JCGZ_04624 [Jatropha curcas]
CSS0025495,PREDICTED: uncharacterized protein LOC104597057 isoform X1 [Nelumbo nucifera]
CSS0046543,PREDICTED: monodehydroascorbate reductase chloroplastic-like [Fragaria vesca subsp. vesca]
CSS0035433,PREDICTED: isoamylase 2 chloroplastic [Vitis vinifera]
CSS0020792,PREDICTED: protein arginine N-methyltransferase PRMT10 [Vitis vinifera]
CSS0045207,PREDICTED: uncharacterized protein LOC102626655 isoform X1 [Citrus sinensis] 
CSS0050137,PREDICTED: GDSL esterase/lipase At4g16230-like [Prunus mume]
CSS0041811,PREDICTED: probable WRKY transcription factor 2 [Vitis vinifera] 
CSS0040288,hypothetical protein JCGZ_23430 [Jatropha curcas]
CSS0014169,hypothetical protein JCGZ_00309 [Jatropha curcas]
CSS0008225,Expansin-related protein 1 precursor [Populus trichocarpa] 
CSS0035784,unnamed protein product [Coffea canephora]
CSS0031459,hypothetical protein PRUPE_ppb013332mg [Prunus persica] 
CSS0050330,PREDICTED: glutamate synthase 1 [NADH] chloroplastic isoform X1 [Nicotiana sylvestris]
CSS0026360,PREDICTED: uncharacterized protein LOC101303730 [Fragaria vesca subsp. vesca]
CSS0026948,hypothetical protein F383_19521 [Gossypium arboreum]
CSS0004387,PREDICTED: mannose-1-phosphate guanyltransferase alpha-like [Fragaria vesca subsp. vesca]
CSS0041884,unnamed protein product [Coffea canephora]
CSS0048892,hypothetical protein VITISV_026044 [Vitis vinifera]
CSS0026724,PREDICTED: uncharacterized protein LOC100255568 [Vitis vinifera] 
CSS0041483,OleV [Camellia oleifera]
CSS0041630,PREDICTED: inactive protein RESTRICTED TEV MOVEMENT 1-like [Sesamum indicum]
CSS0026107,cyclin family protein [Populus trichocarpa] 
CSS0020968,PREDICTED: WEB family protein At1g12150-like [Nicotiana sylvestris]
CSS0009146,hypothetical protein POPTR_0018s10650g [Populus trichocarpa] 
CSS0032661,PREDICTED: 3-hydroxyisobutyryl-CoA hydrolase-like protein 3 mitochondrial isoform X1 [Vitis vinifera]
CSS0043710,PREDICTED: uncharacterized protein At4g37920 chloroplastic [Prunus mume] 
CSS0028229,PREDICTED: glucan endo-13-beta-glucosidase 12-like [Populus euphratica]
CSS0003303,PREDICTED: homeobox-leucine zipper protein ANTHOCYANINLESS 2 isoform X2 [Vitis vinifera]
CSS0012030,unnamed protein product [Coffea canephora]
CSS0043922,hypothetical protein PRUPE_ppa005217mg [Prunus persica] 
CSS0007532,hypothetical protein CISIN_1g000310mg [Citrus sinensis]
CSS0031161,salicylic acid carboxyl methltransferase [Camellia sinensis]
CSS0016802,PREDICTED: GATA transcription factor 24-like isoform X1 [Vitis vinifera]
CSS0045150,hypothetical protein POPTR_0011s17140g [Populus trichocarpa] 
CSS0035649,PREDICTED: glutathione S-transferase omega-like 2 [Vitis vinifera]
CSS0025880,PREDICTED: uncharacterized protein LOC104586702 [Nelumbo nucifera]
CSS0014943,AP-1 Golgi-related complex component; clathrin coated vesicles; clathrin assembly protein [Camptotheca acuminata]
CSS0002886,hypothetical protein POPTR_0007s12160g [Populus trichocarpa] 
CSS0029280,PREDICTED: uncharacterized protein LOC100262011 [Vitis vinifera] 
CSS0012377,PREDICTED: uncharacterized protein LOC104880154 [Vitis vinifera]
CSS0041769,PREDICTED: protein Iojap chloroplastic-like [Solanum tuberosum]
CSS0007160,PREDICTED: uncharacterized protein LOC100244237 isoform X2 [Vitis vinifera]
CSS0044999,PREDICTED: probable ATP-dependent DNA helicase CHR12 [Vitis vinifera]
CSS0015730,PREDICTED: LOW QUALITY PROTEIN: ATP-dependent zinc metalloprotease FTSH 6 chloroplastic [Nelumbo nucifera]
CSS0007885,Saccharopine dehydrogenase isoform 2 [Theobroma cacao] 
CSS0040196,PREDICTED: monocopper oxidase-like protein SKU5 [Vitis vinifera] 
CSS0014444,Beta-glucosidase GBA2 type family protein isoform 2 [Theobroma cacao] 
CSS0016504,PREDICTED: uncharacterized protein LOC104588076 isoform X1 [Nelumbo nucifera]
CSS0027581,unnamed protein product [Coffea canephora]
CSS0010188,hypothetical protein PRUPE_ppa001598mg [Prunus persica] 
CSS0033512,hypothetical protein CISIN_1g010426mg [Citrus sinensis]
CSS0017747,PREDICTED: zinc finger BED domain-containing protein RICESLEEPER 1-like [Sesamum indicum]
CSS0006590,PREDICTED: uncharacterized protein LOC100243155 [Vitis vinifera] 
CSS0027379,hypothetical protein VITISV_005315 [Vitis vinifera]
CSS0018178,RmlC-like cupins superfamily protein [Theobroma cacao] 
CSS0045327,Beta-galactosidase [Medicago truncatula]
CSS0031955,PREDICTED: uncharacterized protein LOC104901585 [Beta vulgaris subsp. vulgaris]
CSS0001564,PREDICTED: uncharacterized protein LOC102617297 [Citrus sinensis]
CSS0028995,hypothetical protein JCGZ_03337 [Jatropha curcas]
CSS0039185,beta-tubulin 3 [Salix arbutifolia]
CSS0026924,PREDICTED: centromere-associated protein E [Vitis vinifera] 
CSS0002329,PREDICTED: uncharacterized protein LOC102664322 [Glycine max]
CSS0042371,Late embryogenesis abundant hydroxyproline-rich glycofamily protein isoform 1 [Theobroma cacao] 
CSS0011848,hypothetical protein CICLE_v10010321mg partial [Citrus clementina] 
CSS0028756,unnamed protein product [Vitis vinifera]
CSS0047601,hypothetical protein CISIN_1g031811mg [Citrus sinensis]
CSS0012978,PREDICTED: zinc finger protein CONSTANS-LIKE 5-like [Nelumbo nucifera]
CSS0025930,PREDICTED: pentatricopeptide repeat-containing protein At3g53360 mitochondrial [Vitis vinifera] 
CSS0009346,PREDICTED: probable E3 ubiquitin-protein ligase XERICO [Vitis vinifera]
CSS0027189,hypothetical protein POPTR_0003s03230g [Populus trichocarpa] 
CSS0019685,hypothetical protein VITISV_024577 [Vitis vinifera]
CSS0042643,PREDICTED: universal stress protein A-like protein [Eucalyptus grandis] 
CSS0022398,PREDICTED: uncharacterized protein LOC103436169 [Malus domestica]
CSS0022917,hypothetical protein PRUPE_ppa001444mg [Prunus persica] 
CSS0039520,PREDICTED: cytochrome P450 CYP82D47-like [Vitis vinifera]
CSS0043235,PREDICTED: uncharacterized protein LOC104104330 [Nicotiana tomentosiformis]
CSS0039532,hypothetical protein JCGZ_00757 [Jatropha curcas]
CSS0042480,PREDICTED: solute carrier family 25 member 44-like [Vitis vinifera]
CSS0007335,PREDICTED: uncharacterized protein LOC100259546 isoform X2 [Vitis vinifera]
CSS0003604,PREDICTED: uncharacterized protein LOC104881368 isoform X2 [Vitis vinifera]
CSS0050261,hypothetical protein VITISV_040460 [Vitis vinifera]
CSS0022213,PREDICTED: uncharacterized protein LOC100259371 [Vitis vinifera] 
CSS0003889,PREDICTED: ABC transporter A family member 1 isoform X3 [Populus euphratica]
CSS0017838,cyclin family protein [Populus trichocarpa] 
CSS0008244,hypothetical protein VITISV_026313 [Vitis vinifera]
